"General", "Aviation"
"A320", "WRC"
"A320", "WVL"
"A320", "WZZ"
"A321", "AAR"
"A321", "ACA"
"A321", "AEE"
"A321", "AFF"
"A321", "AFL"
"A321", "AFR"
"A321", "AIC"
"A321", "AJM"
"A321", "ALK"
"A321", "AUA"
"A321", "AWE"
"A321", "AXB"
"A321", "AZA"
"A321", "BAW"
"A321", "BER"
"A321", "BIE"
"A321", "BMA"
"A321", "BMI"
"A321", "BTV"
"A321", "CCA"
"A321", "CES"
"A321", "CFG"
"A321", "CSA"
"A321", "CSC"
"A321", "CSN"
"A321", "CTO"
"A321", "CYP"
"A321", "DLH"
"A321", "EIN"
"A321", "EVA"
"A321", "EZY"
"A321", "FIN"
"A321", "FRR"
"A321", "GFA"
"A321", "GMI"
"A321", "GZQ"
"A321", "HDA"
"A321", "HRM"
"A321", "HVN"
"A321", "IAW"
"A321", "IBE"
"A321", "IRM"
"A321", "JKK"
"A321", "KFR"
"A321", "KGL"
"A321", "KYV"
"A321", "KZR"
"A321", "LBT"
"A321", "MEA"
"A321", "MLD"
"A321", "MON"
"A321", "MSR"
"A321", "NKS"
"A321", "NLY"
"A321", "NVR"
"A321", "NWS"
"A321", "OHY"
"A321", "QTR"
"A321", "RAM"
"A321", "RJA"
"A321", "SAS"
"A321", "SVA"
"A321", "SVR"
"A321", "SWR"
"A321", "TAM"
"A321", "TAP"
"A321", "TCX"
"A321", "THY"
"A321", "TNA"
"A321", "UDC"
"A321", "USA"
"A321", "UTA"
"A321", "WOW"
"A332", "AAL"
"A332", "AAW"
"A332", "ACI"
"A332", "AEA"
"A332", "AFL"
"A332", "AFR"
"A332", "ALK"
"A332", "ARG"
"A332", "AUA"
"A332", "AVA"
"A332", "AZA"
"A332", "BEC"
"A332", "BEL"
"A332", "BER"
"A332", "BMA"
"A332", "CAJ"
"A332", "CCA"
"A332", "CES"
"A332", "CRL"
"A332", "CSN"
"A332", "CYP"
"A332", "DAH"
"A332", "DAL"
"A332", "EDW"
"A332", "EEZ"
"A332", "EIN"
"A332", "ETD"
